Country/Region,Date,Confirmed,Deaths,Recovered
Afghanistan,2020-01-22,0,0,0
Afghanistan,2020-01-23,0,0,0
Afghanistan,2020-01-24,0,0,0
Afghanistan,2020-01-25,0,0,0
Afghanistan,2020-01-26,0,0,0
Afghanistan,2020-01-27,0,0,0
Afghanistan,2020-01-28,0,0,0
Afghanistan,2020-01-29,0,0,0
Afghanistan,2020-01-30,0,0,0
Afghanistan,2020-01-31,0,0,0
Afghanistan,2020-02-01,0,0,0
Afghanistan,2020-02-02,0,0,0
Afghanistan,2020-02-03,0,0,0
Afghanistan,2020-02-04,0,0,0
Afghanistan,2020-02-05,0,0,0
Afghanistan,2020-02-06,0,0,0
Afghanistan,2020-02-07,0,0,0
Afghanistan,2020-02-08,0,0,0
Afghanistan,2020-02-09,0,0,0
Afghanistan,2020-02-10,0,0,0
Afghanistan,2020-02-11,0,0,0
Afghanistan,2020-02-12,0,0,0
Afghanistan,2020-02-13,0,0,0
Afghanistan,2020-02-14,0,0,0
Afghanistan,2020-02-15,0,0,0
Afghanistan,2020-02-16,0,0,0
Afghanistan,2020-02-17,0,0,0
Afghanistan,2020-02-18,0,0,0
Afghanistan,2020-02-19,0,0,0
Afghanistan,2020-02-20,0,0,0
Afghanistan,2020-02-21,0,0,0
Afghanistan,2020-02-22,0,0,0
Afghanistan,2020-02-23,0,0,0
Afghanistan,2020-02-24,1,0,0
Afghanistan,2020-02-25,2,0,0
Afghanistan,2020-02-26,3,0,0
Afghanistan,2020-02-27,4,0,0
Afghanistan,2020-02-28,5,0,0
Afghanistan,2020-02-29,6,0,0
Afghanistan,2020-03-01,7,0,0
Afghanistan,2020-03-02,8,0,0
Afghanistan,2020-03-03,9,0,0
Afghanistan,2020-03-04,10,0,0
Afghanistan,2020-03-05,11,0,0
Afghanistan,2020-03-06,12,0,0
Afghanistan,2020-03-07,13,0,0
Afghanistan,2020-03-08,17,0,0
Afghanistan,2020-03-09,21,0,0
Afghanistan,2020-03-10,26,0,0
Afghanistan,2020-03-11,33,0,0
Afghanistan,2020-03-12,40,0,0
Afghanistan,2020-03-13,47,0,0
Afghanistan,2020-03-14,58,0,0
Afghanistan,2020-03-15,74,0,0
Afghanistan,2020-03-16,95,0,1
Afghanistan,2020-03-17,117,0,2
Afghanistan,2020-03-18,139,0,3
Afghanistan,2020-03-19,161,0,4
Afghanistan,2020-03-20,185,0,5
Afghanistan,2020-03-21,209,0,6
Afghanistan,2020-03-22,249,1,7
Afghanistan,2020-03-23,289,2,8
Afghanistan,2020-03-24,363,3,9
Afghanistan,2020-03-25,447,5,11
Afghanistan,2020-03-26,541,9,13
Albania,2020-01-22,0,0,0
Albania,2020-01-23,0,0,0
Albania,2020-01-24,0,0,0
Albania,2020-01-25,0,0,0
Albania,2020-01-26,0,0,0
Albania,2020-01-27,0,0,0
Albania,2020-01-28,0,0,0
Albania,2020-01-29,0,0,0
Albania,2020-01-30,0,0,0
Albania,2020-01-31,0,0,0
Albania,2020-02-01,0,0,0
Albania,2020-02-02,0,0,0
Albania,2020-02-03,0,0,0
Albania,2020-02-04,0,0,0
Albania,2020-02-05,0,0,0
Albania,2020-02-06,0,0,0
Albania,2020-02-07,0,0,0
Albania,2020-02-08,0,0,0
Albania,2020-02-09,0,0,0
Albania,2020-02-10,0,0,0
Albania,2020-02-11,0,0,0
Albania,2020-02-12,0,0,0
Albania,2020-02-13,0,0,0
Albania,2020-02-14,0,0,0
Albania,2020-02-15,0,0,0
Albania,2020-02-16,0,0,0
Albania,2020-02-17,0,0,0
Albania,2020-02-18,0,0,0
Albania,2020-02-19,0,0,0
Albania,2020-02-20,0,0,0
Albania,2020-02-21,0,0,0
Albania,2020-02-22,0,0,0
Albania,2020-02-23,0,0,0
Albania,2020-02-24,0,0,0
Albania,2020-02-25,0,0,0
Albania,2020-02-26,0,0,0
Albania,2020-02-27,0,0,0
Albania,2020-02-28,0,0,0
Albania,2020-02-29,0,0,0
Albania,2020-03-01,0,0,0
Albania,2020-03-02,0,0,0
Albania,2020-03-03,0,0,0
Albania,2020-03-04,0,0,0
Albania,2020-03-05,0,0,0
Albania,2020-03-06,0,0,0
Albania,2020-03-07,0,0,0
Albania,2020-03-08,0,0,0
Albania,2020-03-09,2,0,0
Albania,2020-03-10,12,0,0
Albania,2020-03-11,24,1,0
Albania,2020-03-12,47,2,0
Albania,2020-03-13,80,3,0
Albania,2020-03-14,118,4,0
Albania,2020-03-15,160,5,0
Albania,2020-03-16,211,6,0
Albania,2020-03-17,266,7,0
Albania,2020-03-18,325,9,0
Albania,2020-03-19,389,11,0
Albania,2020-03-20,459,13,0
Albania,2020-03-21,535,15,2
Albania,2020-03-22,624,17,4
Albania,2020-03-23,728,21,6
Albania,2020-03-24,851,26,16
Albania,2020-03-25,997,31,33
Albania,2020-03-26,1171,37,50
Algeria,2020-01-22,0,0,0
Algeria,2020-01-23,0,0,0
Algeria,2020-01-24,0,0,0
Algeria,2020-01-25,0,0,0
Algeria,2020-01-26,0,0,0
Algeria,2020-01-27,0,0,0
Algeria,2020-01-28,0,0,0
Algeria,2020-01-29,0,0,0
Algeria,2020-01-30,0,0,0
Algeria,2020-01-31,0,0,0
Algeria,2020-02-01,0,0,0
Algeria,2020-02-02,0,0,0
Algeria,2020-02-03,0,0,0
Algeria,2020-02-04,0,0,0
Algeria,2020-02-05,0,0,0
Algeria,2020-02-06,0,0,0
Algeria,2020-02-07,0,0,0
Algeria,2020-02-08,0,0,0
Algeria,2020-02-09,0,0,0
Algeria,2020-02-10,0,0,0
Algeria,2020-02-11,0,0,0
Algeria,2020-02-12,0,0,0
Algeria,2020-02-13,0,0,0
Algeria,2020-02-14,0,0,0
Algeria,2020-02-15,0,0,0
Algeria,2020-02-16,0,0,0
Algeria,2020-02-17,0,0,0
Algeria,2020-02-18,0,0,0
Algeria,2020-02-19,0,0,0
Algeria,2020-02-20,0,0,0
Algeria,2020-02-21,0,0,0
Algeria,2020-02-22,0,0,0
Algeria,2020-02-23,0,0,0
Algeria,2020-02-24,0,0,0
Algeria,2020-02-25,1,0,0
Algeria,2020-02-26,2,0,0
Algeria,2020-02-27,3,0,0
Algeria,2020-02-28,4,0,0
Algeria,2020-02-29,5,0,0
Algeria,2020-03-01,6,0,0
Algeria,2020-03-02,9,0,0
Algeria,2020-03-03,14,0,0
Algeria,2020-03-04,26,0,0
Algeria,2020-03-05,38,0,0
Algeria,2020-03-06,55,0,0
Algeria,2020-03-07,72,0,0
Algeria,2020-03-08,91,0,0
Algeria,2020-03-09,111,0,0
Algeria,2020-03-10,131,0,0
Algeria,2020-03-11,151,0,0
Algeria,2020-03-12,175,1,8
Algeria,2020-03-13,201,3,16
Algeria,2020-03-14,238,6,28
Algeria,2020-03-15,286,10,40
Algeria,2020-03-16,340,14,52
Algeria,2020-03-17,400,18,64
Algeria,2020-03-18,474,25,76
Algeria,2020-03-19,561,34,108
Algeria,2020-03-20,651,45,140
Algeria,2020-03-21,790,60,172
Algeria,2020-03-22,991,77,237
Algeria,2020-03-23,1221,94,302
Algeria,2020-03-24,1485,113,326
Algeria,2020-03-25,1787,134,391
Algeria,2020-03-26,2154,159,420
Andorra,2020-01-22,0,0,0
Andorra,2020-01-23,0,0,0
Andorra,2020-01-24,0,0,0
Andorra,2020-01-25,0,0,0
Andorra,2020-01-26,0,0,0
Andorra,2020-01-27,0,0,0
Andorra,2020-01-28,0,0,0
Andorra,2020-01-29,0,0,0
Andorra,2020-01-30,0,0,0
Andorra,2020-01-31,0,0,0
Andorra,2020-02-01,0,0,0
Andorra,2020-02-02,0,0,0
Andorra,2020-02-03,0,0,0
Andorra,2020-02-04,0,0,0
Andorra,2020-02-05,0,0,0
Andorra,2020-02-06,0,0,0
Andorra,2020-02-07,0,0,0
Andorra,2020-02-08,0,0,0
Andorra,2020-02-09,0,0,0
Andorra,2020-02-10,0,0,0
Andorra,2020-02-11,0,0,0
Andorra,2020-02-12,0,0,0
Andorra,2020-02-13,0,0,0
Andorra,2020-02-14,0,0,0
Andorra,2020-02-15,0,0,0
Andorra,2020-02-16,0,0,0
Andorra,2020-02-17,0,0,0
Andorra,2020-02-18,0,0,0
Andorra,2020-02-19,0,0,0
Andorra,2020-02-20,0,0,0
Andorra,2020-02-21,0,0,0
Andorra,2020-02-22,0,0,0
Andorra,2020-02-23,0,0,0
Andorra,2020-02-24,0,0,0
Andorra,2020-02-25,0,0,0
Andorra,2020-02-26,0,0,0
Andorra,2020-02-27,0,0,0
Andorra,2020-02-28,0,0,0
Andorra,2020-02-29,0,0,0
Andorra,2020-03-01,0,0,0
Andorra,2020-03-02,1,0,0
Andorra,2020-03-03,2,0,0
Andorra,2020-03-04,3,0,0
Andorra,2020-03-05,4,0,0
Andorra,2020-03-06,5,0,0
Andorra,2020-03-07,6,0,0
Andorra,2020-03-08,7,0,0
Andorra,2020-03-09,8,0,0
Andorra,2020-03-10,9,0,0
Andorra,2020-03-11,10,0,0
Andorra,2020-03-12,11,0,1
Andorra,2020-03-13,12,0,1
Andorra,2020-03-14,13,0,2
Andorra,2020-03-15,14,0,3
Andorra,2020-03-16,16,0,4
Andorra,2020-03-17,55,0,5
Andorra,2020-03-18,94,0,6
Andorra,2020-03-19,147,0,7
Andorra,2020-03-20,222,0,8
Andorra,2020-03-21,310,0,9
Andorra,2020-03-22,423,1,10
Andorra,2020-03-23,556,2,11
Andorra,2020-03-24,720,3,12
Andorra,2020-03-25,908,4,13
Andorra,2020-03-26,1132,7,14
Angola,2020-01-22,0,0,0
Angola,2020-01-23,0,0,0
Angola,2020-01-24,0,0,0
Angola,2020-01-25,0,0,0
Angola,2020-01-26,0,0,0
